feed_id,feed_url,source_type,author
whitehouse-presidential-actions,https://www.whitehouse.gov/presidential-actions/feed/,official_remarks,White House
sec-press-releases,https://www.sec.gov/news/pressreleases.rss,regulatory_action,SEC
sec-speeches-statements,https://www.sec.gov/news/speeches-statements.rss,regulatory_action,SEC
federal-reserve-press-releases,https://www.federalreserve.gov/feeds/press_all.xml,government_policy,Federal Reserve
federal-reserve-speeches-testimony,https://www.federalreserve.gov/feeds/speeches_and_testimony.xml,official_remarks,Federal Reserve
nist-news,https://www.nist.gov/news-events/news/rss.xml,government_policy,NIST
nist-cybersecurity,https://www.nist.gov/news-events/cybersecurity/rss.xml,government_policy,NIST
nist-energy,https://www.nist.gov/news-events/energy/rss.xml,government_policy,NIST
cisa-news,https://www.cisa.gov/news.xml,regulatory_action,CISA
